,name,kind,latitude_deg,longitude_deg,elevation_ft,region_name,municipality,geometry
654,Fazenda Santa Amália Airport,small_airport,-10.307853,-56.579088,1043.0,Mato Grosso,Alta Floresta,POINT (3489297.5159009164 8854628.877289016)
655,Ingazeira Airport,small_airport,-10.1304620248,-56.7186355591,853.0,Mato Grosso,Alta Floresta,POINT (3473772.552502613 8874552.0817275)
656,Fazenda Trescinco Juruena Airport,small_airport,-10.2447223663,-58.24944305419999,883.0,Mato Grosso,Alta Floresta,POINT (3303466.955725785 8861720.521833783)
657,A2 Aviação Agrícola Ltda Airport,small_airport,-10.068612,-55.995278,942.0,Mato Grosso,Alta Floresta,POINT (3554247.6228036685 8881495.971166192)
658,Agropecuária Mariana Airport,small_airport,-9.969649,-56.216799,1001.0,Mato Grosso,Alta Floresta,POINT (3529602.939377203 8892603.726011727)
659,Fazenda Shangri-lá Airstrip,small_airport,-10.282778,-56.325556,1096.0,Mato Grosso,Alta Floresta,POINT (3517503.4913094714 8857445.795551507)
660,Fazenda Itaúba Airstrip,small_airport,-10.458889,-56.343611,1266.0,Mato Grosso,Alta Floresta,POINT (3515494.8340748753 8837656.711752571)
661,Fazenda Santa Maria Airstrip,small_airport,-10.369722,-56.589722,1243.0,Mato Grosso,Alta Floresta,POINT (3488114.4607343306 8847677.558904024)
662,Fazenda Jaymu Airstrip,small_airport,-10.304088,-56.934845,745.0,Mato Grosso,Alta Floresta,POINT (3449718.7913477174 8855051.850779345)
663,Fazenda WS Airstrip,small_airport,-10.328198,-56.076828,925.0,Mato Grosso,Alta Floresta,POINT (3545175.0114782043 8852343.158985514)
664,Fazenda Sertaneja Airport,small_airport,-9.704158,-56.01164,892.0,Mato Grosso,Alta Floresta,POINT (3552427.315427737 8922386.057333764)
665,Fazenda Cristalino Airport,small_airport,-9.6677780151367,-55.976665496826,919.0,Mato Grosso,Alta Floresta,POINT (3556318.303454701 8926465.22549889)
666,Alta Floresta D'Oeste Airport,small_airport,-11.919358,-61.97612,,Rondônia,Alta Floresta D'Oeste,POINT (2888866.2020186987 8673090.591543466)
667,Ilha das Flores Airport,small_airport,-13.053664,-62.564564,456.0,Rondônia,Alta Floresta d'Oeste,POINT (2823400.552738482 8544662.181079786)
668,Fazenda Peça Rara Agropecuária II Airport,small_airport,-12.429319,-62.141246,643.0,Rondônia,Alta Floresta d'Oeste,POINT (2870495.582549309 8615422.219013808)
669,Sítio Mequéns Airstrip,small_airport,-13.095556,-62.387778,561.0,Rondônia,Alta Floresta d'Oeste,POINT (2843068.372061396 8539907.973205395)
670,Peça Rara Agropecuária I Airstrip,small_airport,-11.87162,-61.989122,1512.0,Rondônia,Alta Floresta d'Oeste,POINT (2887419.701804674 8678483.300605154)
671,Fazenda Constância Airport,small_airport,-20.489442,-49.188638,1970.0,São Paulo,Altair,POINT (4311500.831293679 7685248.177157592)
672,Aldeia Baú Airport,small_airport,-7.360278129577637,-54.8297233581543,699.0,Pará,Altamira,POINT (3683918.061112156 9184358.704499077)
673,Aldeia Kubenkroke Airport,small_airport,-8.7252779006958,-53.390277862549,1099.0,Pará,Altamira,POINT (3844059.44070526 9031993.967948126)
674,Iriri Airport,small_airport,-5.679363,-54.244999,581.0,Pará,Altamira,POINT (3748969.892308547 9371344.475068627)
675,Aldeia Pykany Airport,small_airport,-8.1666669845581,-54.829723358154,1100.0,Pará,Altamira,POINT (3683918.0611121897 9094410.686198965)
676,Projeto Iriri Airport,small_airport,-6.188056,-54.072224,657.0,Pará,Altamira,POINT (3768191.4793319334 9314823.105664195)
